category,command_name,subcommands,arguments,flags,graphql_operation_used,description,entity,tags
mutation,linear mutation,attachment-link-salesforce,<id>,"--create-as-user <value>, --display-icon-url <value>, --issue-id <value>, --title <value>, --url <value>, --select <fields|@file>, --format <human|json>",attachmentLinkSalesforce,Link an existing Salesforce case to an issue. This creates a rich attachment using the workspace's Salesforce integration.,Attachment,
mutation,linear mutation,attachment-link-slack,<id>,"--create-as-user <value>, --display-icon-url <value>, --issue-id <value>, --sync-to-comment-thread, --title <value>, --url <value>, --select <fields|@file>, --format <human|json>",attachmentLinkSlack,Link an existing Slack message to an issue. This creates a rich attachment using the workspace's Slack integration.,Attachment,
mutation,linear mutation,attachment-link-url,<id>,"--create-as-user <value>, --display-icon-url <value>, --issue-id <value>, --title <value>, --url <value>, --select <fields|@file>, --format <human|json>",attachmentLinkURL,"Link any URL to an issue. If the workspace has a matching integration configured and the URL is recognized (e.g., Zendesk, GitHub, Slack), a rich attachment will be created that enables features like automated status updates. Otherwise, a basic attachment is created.",Attachment,
mutation,linear mutation,attachment-link-zendesk,<id>,"--create-as-user <value>, --display-icon-url <value>, --issue-id <value>, --ticket-id <value>, --title <value>, --url <value>, --select <fields|@file>, --format <human|json>",attachmentLinkZendesk,"Link an existing Zendesk ticket to an issue. This creates a rich attachment using the workspace's Zendesk integration, enabling features like automated ticket reopening when the Linear issue is completed.",Attachment,
mutation,linear mutation,attachment-sync-to-slack,<id>,"--select <fields|@file>, --format <human|json>",attachmentSyncToSlack,Begin syncing the thread for an existing Slack message attachment with a comment thread on its issue.,Attachment,
mutation,linear mutation,attachment-update,<id>,"--input <json|@file>, --select <fields|@file>, --format <human|json>",attachmentUpdate,Updates an existing issue attachment.,Attachment,
mutation,linear mutation,comment-create,,"--input <json|@file>, --select <fields|@file>, --format <human|json>",commentCreate,Creates a new comment.,Comment,
mutation,linear mutation,comment-delete,<id>,"--select <fields|@file>, --format <human|json>",commentDelete,Deletes a comment.,Comment,
mutation,linear mutation,comment-resolve,<id>,"--resolving-comment-id <value>, --select <fields|@file>, --format <human|json>",commentResolve,Resolves a comment.,Comment,
mutation,linear mutation,comment-unresolve,<id>,"--select <fields|@file>, --format <human|json>",commentUnresolve,Unresolves a comment.,Comment,
mutation,linear mutation,comment-update,<id>,"--input <json|@file>, --skip-edited-at, --select <fields|@file>, --format <human|json>",commentUpdate,Updates a comment.,Comment,
mutation,linear mutation,contact-create,,"--input <json|@file>, --select <fields|@file>, --format <human|json>",contactCreate,Saves user message.,Contact,
mutation,linear mutation,contact-sales-create,,"--input <json|@file>, --select <fields|@file>, --format <human|json>",contactSalesCreate,[INTERNAL] Saves sales pricing inquiry to Front.,Contact,internal
mutation,linear mutation,create-csv-export-report,,"--include-private-team-ids <value>, --select <fields|@file>, --format <human|json>",createCsvExportReport,Create CSV export report for the organization.,CsvExportReport,
mutation,linear mutation,create-initiative-update-reminder,,"--initiative-id <value>, --user-id <value>, --select <fields|@file>, --format <human|json>",createInitiativeUpdateReminder,Create a notification to remind a user about an initiative update.,InitiativeUpdate,
mutation,linear mutation,create-organization-from-onboarding,,"--input <json|@file>, --session-id <value>, --survey <json|@file>, --select <fields|@file>, --format <human|json>",createOrganizationFromOnboarding,Creates an organization from onboarding.,Organization,
mutation,linear mutation,create-project-update-reminder,,"--project-id <value>, --user-id <value>, --select <fields|@file>, --format <human|json>",createProjectUpdateReminder,Create a notification to remind a user about a project update.,ProjectUpdate,
mutation,linear mutation,custom-view-create,,"--input <json|@file>, --select <fields|@file>, --format <human|json>",customViewCreate,Creates a new custom view.,CustomView,
mutation,linear mutation,custom-view-delete,<id>,"--select <fields|@file>, --format <human|json>",customViewDelete,Deletes a custom view.,CustomView,
mutation,linear mutation,custom-view-update,<id>,"--input <json|@file>, --select <fields|@file>, --format <human|json>",customViewUpdate,Updates a custom view.,CustomView,
mutation,linear mutation,customer-create,,"--input <json|@file>, --select <fields|@file>, --format <human|json>",customerCreate,Creates a new customer.,Customer,
mutation,linear mutation,customer-delete,<id>,"--select <fields|@file>, --format <human|json>",customerDelete,Deletes a customer.,Customer,
mutation,linear mutation,customer-merge,,"--source-customer-id <value>, --target-customer-id <value>, --select <fields|@file>, --format <human|json>",customerMerge,Merges two customers.,Customer,
mutation,linear mutation,customer-need-archive,<id>,"--select <fields|@file>, --format <human|json>",customerNeedArchive,Archives a customer need.,CustomerNeed,
mutation,linear mutation,customer-need-create,,"--input <json|@file>, --select <fields|@file>, --format <human|json>",customerNeedCreate,Creates a new customer need.,CustomerNeed,
mutation,linear mutation,customer-need-create-from-attachment,,"--input <json|@file>, --select <fields|@file>, --format <human|json>",customerNeedCreateFromAttachment,Creates a new customer need out of an attachment,CustomerNeed,
mutation,linear mutation,customer-need-delete,<id>,"--keep-attachment, --select <fields|@file>, --format <human|json>",customerNeedDelete,Deletes a customer need.,CustomerNeed,
mutation,linear mutation,customer-need-unarchive,<id>,"--select <fields|@file>, --format <human|json>",customerNeedUnarchive,Unarchives a customer need.,CustomerNeed,
mutation,linear mutation,customer-need-update,<id>,"--input <json|@file>, --select <fields|@file>, --format <human|json>",customerNeedUpdate,Updates a customer need,CustomerNeed,
mutation,linear mutation,customer-status-create,,"--input <json|@file>, --select <fields|@file>, --format <human|json>",customerStatusCreate,Creates a new customer status.,CustomerStatus,
mutation,linear mutation,customer-status-delete,<id>,"--select <fields|@file>, --format <human|json>",customerStatusDelete,Deletes a customer status.,CustomerStatus,
mutation,linear mutation,customer-status-update,<id>,"--input <json|@file>, --select <fields|@file>, --format <human|json>",customerStatusUpdate,Updates a customer status.,CustomerStatus,
mutation,linear mutation,customer-tier-create,,"--input <json|@file>, --select <fields|@file>, --format <human|json>",customerTierCreate,Creates a new customer tier.,CustomerTier,
mutation,linear mutation,customer-tier-delete,<id>,"--select <fields|@file>, --format <human|json>",customerTierDelete,Deletes a customer tier.,CustomerTier,
mutation,linear mutation,customer-tier-update,<id>,"--input <json|@file>, --select <fields|@file>, --format <human|json>",customerTierUpdate,Updates a customer tier.,CustomerTier,
mutation,linear mutation,customer-unsync,<id>,"--select <fields|@file>, --format <human|json>",customerUnsync,Unsyncs a managed customer from the its current data source. External IDs mapping to the external source will be cleared.,Customer,
mutation,linear mutation,customer-update,<id>,"--input <json|@file>, --select <fields|@file>, --format <human|json>",customerUpdate,Updates a customer,Customer,
mutation,linear mutation,customer-upsert,,"--input <json|@file>, --select <fields|@file>, --format <human|json>",customerUpsert,"Upserts a customer, creating it if it doesn't exists, updating it otherwise. Matches against an existing customer with `id` or `externalId`",Customer,
mutation,linear mutation,cycle-archive,<id>,"--select <fields|@file>, --format <human|json>",cycleArchive,Archives a cycle.,Cycle,
mutation,linear mutation,cycle-create,,"--input <json|@file>, --select <fields|@file>, --format <human|json>",cycleCreate,Creates a new cycle.,Cycle,
mutation,linear mutation,cycle-shift-all,,"--input <json|@file>, --select <fields|@file>, --format <human|json>",cycleShiftAll,"Shifts all cycles starts and ends by a certain number of days, starting from the provided cycle onwards.",Cycle,
mutation,linear mutation,cycle-start-upcoming-cycle-today,<id>,"--select <fields|@file>, --format <human|json>",cycleStartUpcomingCycleToday,"Shifts all cycles starts and ends by a certain number of days, starting from the provided cycle onwards.",Cycle,
mutation,linear mutation,cycle-update,<id>,"--input <json|@file>, --select <fields|@file>, --format <human|json>",cycleUpdate,Updates a cycle.,Cycle,
mutation,linear mutation,document-create,,"--input <json|@file>, --select <fields|@file>, --format <human|json>",documentCreate,Creates a new document.,Document,
mutation,linear mutation,document-delete,<id>,"--select <fields|@file>, --format <human|json>",documentDelete,Deletes (trashes) a document.,Document,
mutation,linear mutation,document-unarchive,<id>,"--select <fields|@file>, --format <human|json>",documentUnarchive,Restores a document.,Document,
mutation,linear mutation,document-update,<id>,"--input <json|@file>, --select <fields|@file>, --format <human|json>",documentUpdate,Updates a document.,Document,
mutation,linear mutation,email-intake-address-create,,"--input <json|@file>, --select <fields|@file>, --format <human|json>",emailIntakeAddressCreate,Creates a new email intake address.,EmailIntakeAddress,
mutation,linear mutation,email-intake-address-delete,<id>,"--select <fields|@file>, --format <human|json>",emailIntakeAddressDelete,Deletes an email intake address object.,EmailIntakeAddress,
mutation,linear mutation,email-intake-address-rotate,<id>,"--select <fields|@file>, --format <human|json>",emailIntakeAddressRotate,Rotates an existing email intake address.,EmailIntakeAddress,
mutation,linear mutation,email-intake-address-update,<id>,"--input <json|@file>, --select <fields|@file>, --format <human|json>",emailIntakeAddressUpdate,Updates an existing email intake address.,EmailIntakeAddress,
mutation,linear mutation,email-token-user-account-auth,,"--input <json|@file>, --select <fields|@file>, --format <human|json>",emailTokenUserAccountAuth,Authenticates a user account via email and authentication token.,Auth,
mutation,linear mutation,email-unsubscribe,,"--input <json|@file>, --select <fields|@file>, --format <human|json>",emailUnsubscribe,Unsubscribes the user from one type of email.,EmailSubscription,
mutation,linear mutation,email-user-account-auth-challenge,,"--input <json|@file>, --select <fields|@file>, --format <human|json>",emailUserAccountAuthChallenge,Finds or creates a new user account by email and sends an email with token.,Auth,
mutation,linear mutation,emoji-create,,"--input <json|@file>, --select <fields|@file>, --format <human|json>",emojiCreate,Creates a custom emoji.,Emoji,
mutation,linear mutation,emoji-delete,<id>,"--select <fields|@file>, --format <human|json>",emojiDelete,Deletes an emoji.,Emoji,
mutation,linear mutation,entity-external-link-create,,"--input <json|@file>, --select <fields|@file>, --format <human|json>",entityExternalLinkCreate,Creates a new entity link.,EntityExternalLink,
mutation,linear mutation,entity-external-link-delete,<id>,"--select <fields|@file>, --format <human|json>",entityExternalLinkDelete,Deletes an entity link.,EntityExternalLink,
mutation,linear mutation,entity-external-link-update,<id>,"--input <json|@file>, --select <fields|@file>, --format <human|json>",entityExternalLinkUpdate,Updates an entity link.,EntityExternalLink,
mutation,linear mutation,favorite-create,,"--input <json|@file>, --select <fields|@file>, --format <human|json>",favoriteCreate,"Creates a new favorite (project, cycle etc).",Favorite,
mutation,linear mutation,favorite-delete,<id>,"--select <fields|@file>, --format <human|json>",favoriteDelete,Deletes a favorite reference.,Favorite,
mutation,linear mutation,favorite-update,<id>,"--input <json|@file>, --select <fields|@file>, --format <human|json>",favoriteUpdate,Updates a favorite.,Favorite,
mutation,linear mutation,file-upload,,"--content-type <value>, --filename <value>, --make-public, --meta-data <value>, --size <value>, --select <fields|@file>, --format <human|json>",fileUpload,"XHR request payload to upload an images, video and other attachments directly to Linear's cloud storage.",FileUpload,
mutation,linear mutation,file-upload-dangerously-delete,,"--asset-url <value>, --select <fields|@file>, --format <human|json>",fileUploadDangerouslyDelete,[INTERNAL] Permanently delete an uploaded file by asset URL. This should be used as a last resort and will break comments and documents that reference the asset.,FileUpload,internal
mutation,linear mutation,git-automation-state-create,,"--input <json|@file>, --select <fields|@file>, --format <human|json>",gitAutomationStateCreate,Creates a new automation state.,GitAutomationState,
mutation,linear mutation,git-automation-state-delete,<id>,"--select <fields|@file>, --format <human|json>",gitAutomationStateDelete,Archives an automation state.,GitAutomationState,
mutation,linear mutation,git-automation-state-update,<id>,"--input <json|@file>, --select <fields|@file>, --format <human|json>",gitAutomationStateUpdate,Updates an existing state.,GitAutomationState,
mutation,linear mutation,git-automation-target-branch-create,,"--input <json|@file>, --select <fields|@file>, --format <human|json>",gitAutomationTargetBranchCreate,Creates a Git target branch automation.,GitAutomationTargetBranch,
mutation,linear mutation,git-automation-target-branch-delete,<id>,"--select <fields|@file>, --format <human|json>",gitAutomationTargetBranchDelete,Archives a Git target branch automation.,GitAutomationTargetBranch,
mutation,linear mutation,git-automation-target-branch-update,<id>,"--input <json|@file>, --select <fields|@file>, --format <human|json>",gitAutomationTargetBranchUpdate,Updates an existing Git target branch automation.,GitAutomationTargetBranch,
mutation,linear mutation,google-user-account-auth,,"--input <json|@file>, --select <fields|@file>, --format <human|json>",googleUserAccountAuth,Authenticate user account through Google OAuth. This is the 2nd step of OAuth flow.,Auth,
mutation,linear mutation,image-upload-from-url,,"--url <value>, --select <fields|@file>, --format <human|json>",imageUploadFromUrl,Upload an image from an URL to Linear.,FileUpload,
mutation,linear mutation,import-file-upload,,"--content-type <value>, --filename <value>, --meta-data <value>, --size <value>, --select <fields|@file>, --format <human|json>",importFileUpload,"XHR request payload to upload a file for import, directly to Linear's cloud storage.",FileUpload,
mutation,linear mutation,initiative-archive,<id>,"--select <fields|@file>, --format <human|json>",initiativeArchive,Archives a initiative.,Initiative,
mutation,linear mutation,initiative-create,,"--input <json|@file>, --select <fields|@file>, --format <human|json>",initiativeCreate,Creates a new initiative.,Initiative,
mutation,linear mutation,initiative-delete,<id>,"--select <fields|@file>, --format <human|json>",initiativeDelete,Deletes (trashes) an initiative.,Initiative,
mutation,linear mutation,initiative-relation-create,,"--input <json|@file>, --select <fields|@file>, --format <human|json>",initiativeRelationCreate,Creates a new initiative relation.,InitiativeRelation,
mutation,linear mutation,initiative-relation-delete,<id>,"--select <fields|@file>, --format <human|json>",initiativeRelationDelete,Deletes an initiative relation.,InitiativeRelation,
mutation,linear mutation,initiative-relation-update,<id>,"--input <json|@file>, --select <fields|@file>, --format <human|json>",initiativeRelationUpdate,Updates an initiative relation.,InitiativeRelation,
mutation,linear mutation,initiative-to-project-create,,"--input <json|@file>, --select <fields|@file>, --format <human|json>",initiativeToProjectCreate,Creates a new initiativeToProject join.,InitiativeToProject,
mutation,linear mutation,initiative-to-project-delete,<id>,"--select <fields|@file>, --format <human|json>",initiativeToProjectDelete,Deletes a initiativeToProject.,InitiativeToProject,
mutation,linear mutation,initiative-to-project-update,<id>,"--input <json|@file>, --select <fields|@file>, --format <human|json>",initiativeToProjectUpdate,Updates a initiativeToProject.,InitiativeToProject,
mutation,linear mutation,initiative-unarchive,<id>,"--select <fields|@file>, --format <human|json>",initiativeUnarchive,Unarchives a initiative.,Initiative,
mutation,linear mutation,initiative-update,<id>,"--input <json|@file>, --select <fields|@file>, --format <human|json>",initiativeUpdate,Updates a initiative.,Initiative,
mutation,linear mutation,initiative-update-archive,<id>,"--select <fields|@file>, --format <human|json>",initiativeUpdateArchive,Archives an initiative update.,InitiativeUpdate,
mutation,linear mutation,initiative-update-create,,"--input <json|@file>, --select <fields|@file>, --format <human|json>",initiativeUpdateCreate,Creates a initiative update.,InitiativeUpdate,
mutation,linear mutation,initiative-update-unarchive,<id>,"--select <fields|@file>, --format <human|json>",initiativeUpdateUnarchive,Unarchives an initiative update.,InitiativeUpdate,
mutation,linear mutation,initiative-update-update,<id>,"--input <json|@file>, --select <fields|@file>, --format <human|json>",initiativeUpdateUpdate,Updates an update.,InitiativeUpdate,
mutation,linear mutation,integration-archive,<id>,"--select <fields|@file>, --format <human|json>",integrationArchive,Archives an integration.,Integration,
mutation,linear mutation,integration-asks-connect-channel,,"--code <value>, --redirect-uri <value>, --select <fields|@file>, --format <human|json>",integrationAsksConnectChannel,Connect a Slack channel to Asks.,Integration,
mutation,linear mutation,integration-customer-data-attributes-refresh,,"--input <json|@file>, --select <fields|@file>, --format <human|json>",integrationCustomerDataAttributesRefresh,[INTERNAL] Refreshes the customer data attributes from the specified integration service.,Integration,internal
mutation,linear mutation,integration-delete,<id>,"--skip-installation-deletion, --select <fields|@file>, --format <human|json>",integrationDelete,Deletes an integration.,Integration,
mutation,linear mutation,integration-discord,,"--code <value>, --redirect-uri <value>, --select <fields|@file>, --format <human|json>",integrationDiscord,Integrates the organization with Discord.,Integration,
mutation,linear mutation,integration-figma,,"--code <value>, --redirect-uri <value>, --select <fields|@file>, --format <human|json>",integrationFigma,Integrates the organization with Figma.,Integration,
mutation,linear mutation,integration-front,,"--code <value>, --redirect-uri <value>, --select <fields|@file>, --format <human|json>",integrationFront,Integrates the organization with Front.,Integration,
mutation,linear mutation,integration-git-hub-enterprise-server-connect,,"--github-url <value>, --organization-name <value>, --select <fields|@file>, --format <human|json>",integrationGitHubEnterpriseServerConnect,Connects the organization with a GitHub Enterprise Server.,Integration,
mutation,linear mutation,integration-git-hub-personal,,"--code <value>, --code-access, --select <fields|@file>, --format <human|json>",integrationGitHubPersonal,Connect your GitHub account to Linear.,Integration,
mutation,linear mutation,integration-github-commit-create,,"--select <fields|@file>, --format <human|json>",integrationGithubCommitCreate,Generates a webhook for the GitHub commit integration.,Integration,
mutation,linear mutation,integration-github-connect,,"--code <value>, --code-access <json|@file>, --github-host <value>, --installation-id <value>, --select <fields|@file>, --format <human|json>",integrationGithubConnect,Connects the organization with the GitHub App.,Integration,
mutation,linear mutation,integration-github-import-connect,,"--code <value>, --installation-id <value>, --select <fields|@file>, --format <human|json>",integrationGithubImportConnect,Connects the organization with the GitHub Import App.,Integration,
mutation,linear mutation,integration-github-import-refresh,<id>,"--select <fields|@file>, --format <human|json>",integrationGithubImportRefresh,Refreshes the data for a GitHub import integration.,Integration,
mutation,linear mutation,integration-gitlab-connect,,"--access-token <value>, --gitlab-url <value>, --select <fields|@file>, --format <human|json>",integrationGitlabConnect,Connects the organization with a GitLab Access Token.,Integration,
mutation,linear mutation,integration-gitlab-test-connection,,"--integration-id <value>, --select <fields|@file>, --format <human|json>",integrationGitlabTestConnection,Tests connectivity to a self-hosted GitLab instance and clears auth errors if successful.,Integration,
mutation,linear mutation,integration-gong,,"--code <value>, --redirect-uri <value>, --select <fields|@file>, --format <human|json>",integrationGong,Integrates the organization with Gong.,Integration,
mutation,linear mutation,integration-google-calendar-personal-connect,,"--code <value>, --select <fields|@file>, --format <human|json>",integrationGoogleCalendarPersonalConnect,[Internal] Connects the Google Calendar to the user to this Linear account via OAuth2.,Integration,internal
mutation,linear mutation,integration-google-sheets,,"--code <value>, --select <fields|@file>, --format <human|json>",integrationGoogleSheets,Integrates the organization with Google Sheets.,Integration,
mutation,linear mutation,integration-intercom,,"--code <value>, --domain-url <value>, --redirect-uri <value>, --select <fields|@file>, --format <human|json>",integrationIntercom,Integrates the organization with Intercom.,Integration,
mutation,linear mutation,integration-intercom-delete,,"--select <fields|@file>, --format <human|json>",integrationIntercomDelete,Disconnects the organization from Intercom.,Integration,
mutation,linear mutation,integration-intercom-settings-update,,"--input <json|@file>, --select <fields|@file>, --format <human|json>",integrationIntercomSettingsUpdate,[DEPRECATED] Updates settings on the Intercom integration.,Integration,deprecated
mutation,linear mutation,integration-jira-fetch-project-statuses,,"--input <json|@file>, --select <fields|@file>, --format <human|json>",integrationJiraFetchProjectStatuses,[INTERNAL] Fetches Jira project statuses and stores them in integration settings.,Integration,internal
mutation,linear mutation,integration-jira-personal,,"--access-token <value>, --code <value>, --select <fields|@file>, --format <human|json>",integrationJiraPersonal,Connect your Jira account to Linear.,Integration,
mutation,linear mutation,integration-jira-update,,"--input <json|@file>, --select <fields|@file>, --format <human|json>",integrationJiraUpdate,[INTERNAL] Updates a Jira Integration.,Integration,internal
mutation,linear mutation,integration-launch-darkly-connect,,"--code <value>, --environment <value>, --project-key <value>, --select <fields|@file>, --format <human|json>",integrationLaunchDarklyConnect,[INTERNAL] Integrates the organization with LaunchDarkly.,Integration,internal
mutation,linear mutation,integration-launch-darkly-personal-connect,,"--code <value>, --select <fields|@file>, --format <human|json>",integrationLaunchDarklyPersonalConnect,[INTERNAL] Integrates your personal account with LaunchDarkly.,Integration,internal
mutation,linear mutation,integration-loom,,"--select <fields|@file>, --format <human|json>",integrationLoom,Enables Loom integration for the organization.,Integration,deprecated
mutation,linear mutation,integration-mcp-server-connect,,"--server-url <value>, --team-id <value>, --select <fields|@file>, --format <human|json>",integrationMcpServerConnect,[INTERNAL] Connects the workspace with an MCP server.,Integration,internal
mutation,linear mutation,integration-mcp-server-personal-connect,,"--server-url <value>, --select <fields|@file>, --format <human|json>",integrationMcpServerPersonalConnect,[INTERNAL] Connects the user's personal account with an MCP server.,Integration,internal
mutation,linear mutation,integration-microsoft-personal-connect,,"--code <value>, --redirect-uri <value>, --select <fields|@file>, --format <human|json>",integrationMicrosoftPersonalConnect,[ALPHA] Connects the user's personal Microsoft account to Linear.,Integration,alpha
mutation,linear mutation,integration-microsoft-teams,,"--code <value>, --redirect-uri <value>, --select <fields|@file>, --format <human|json>",integrationMicrosoftTeams,[ALPHA] Integrates the organization with Microsoft Teams.,Integration,alpha
mutation,linear mutation,integration-opsgenie-connect,,"--api-key <value>, --select <fields|@file>, --format <human|json>",integrationOpsgenieConnect,[INTERNAL] Integrates the organization with Opsgenie.,Integration,internal
mutation,linear mutation,integration-opsgenie-refresh-schedule-mappings,,"--select <fields|@file>, --format <human|json>",integrationOpsgenieRefreshScheduleMappings,[INTERNAL] Refresh Opsgenie schedule mappings.,Integration,internal
mutation,linear mutation,integration-pager-duty-connect,,"--code <value>, --redirect-uri <value>, --select <fields|@file>, --format <human|json>",integrationPagerDutyConnect,[INTERNAL] Integrates the organization with PagerDuty.,Integration,internal
mutation,linear mutation,integration-pager-duty-refresh-schedule-mappings,,"--select <fields|@file>, --format <human|json>",integrationPagerDutyRefreshScheduleMappings,[INTERNAL] Refresh PagerDuty schedule mappings.,Integration,internal
mutation,linear mutation,integration-request,,"--input <json|@file>, --select <fields|@file>, --format <human|json>",integrationRequest,Requests a currently unavailable integration.,Integration,
mutation,linear mutation,integration-salesforce,,"--code <value>, --redirect-uri <value>, --subdomain <value>, --select <fields|@file>, --format <human|json>",integrationSalesforce,Integrates the organization with Salesforce.,Integration,
mutation,linear mutation,integration-salesforce-metadata-refresh,<id>,"--select <fields|@file>, --format <human|json>",integrationSalesforceMetadataRefresh,[INTERNAL] Refreshes the Salesforce integration metadata.,Integration,internal
mutation,linear mutation,integration-sentry-connect,,"--code <value>, --installation-id <value>, --organization-slug <value>, --select <fields|@file>, --format <human|json>",integrationSentryConnect,Integrates the organization with Sentry.,Integration,
mutation,linear mutation,integration-settings-update,<id>,"--input <json|@file>, --select <fields|@file>, --format <human|json>",integrationSettingsUpdate,[INTERNAL] Updates the integration settings.,Integration,"internal, deprecated"
mutation,linear mutation,integration-slack,,"--code <value>, --redirect-uri <value>, --should-use-v-2-auth, --select <fields|@file>, --format <human|json>",integrationSlack,Integrates the organization with Slack.,Integration,
mutation,linear mutation,integration-slack-asks,,"--code <value>, --redirect-uri <value>, --select <fields|@file>, --format <human|json>",integrationSlackAsks,Integrates the organization with the Slack Asks app.,Integration,
mutation,linear mutation,integration-slack-custom-view-notifications,,"--code <value>, --custom-view-id <value>, --redirect-uri <value>, --select <fields|@file>, --format <human|json>",integrationSlackCustomViewNotifications,Slack integration for custom view notifications.,Integration,
mutation,linear mutation,integration-slack-customer-channel-link,,"--code <value>, --customer-id <value>, --redirect-uri <value>, --select <fields|@file>, --format <human|json>",integrationSlackCustomerChannelLink,Integrates a Slack Asks channel with a Customer.,IntegrationSlackCustomerChannel,
mutation,linear mutation,integration-slack-import-emojis,,"--code <value>, --redirect-uri <value>, --select <fields|@file>, --format <human|json>",integrationSlackImportEmojis,Imports custom emojis from your Slack workspace.,Integration,
mutation,linear mutation,integration-slack-initiative-post,,"--code <value>, --initiative-id <value>, --redirect-uri <value>, --select <fields|@file>, --format <human|json>",integrationSlackInitiativePost,[Internal] Slack integration for initiative notifications.,Integration,internal
mutation,linear mutation,integration-slack-or-asks-update-slack-team-name,,"--integration-id <value>, --select <fields|@file>, --format <human|json>",integrationSlackOrAsksUpdateSlackTeamName,Updates the Slack team's name in Linear for an existing Slack or Asks integration.,IntegrationSlackOrAsks,
mutation,linear mutation,integration-slack-org-initiative-updates-post,,"--code <value>, --redirect-uri <value>, --select <fields|@file>, --format <human|json>",integrationSlackOrgInitiativeUpdatesPost,[Internal] Slack integration for organization level initiative update notifications.,Integration,internal
mutation,linear mutation,integration-slack-org-project-updates-post,,"--code <value>, --redirect-uri <value>, --select <fields|@file>, --format <human|json>",integrationSlackOrgProjectUpdatesPost,Slack integration for organization level project update notifications.,Integration,
mutation,linear mutation,integration-slack-personal,,"--code <value>, --redirect-uri <value>, --select <fields|@file>, --format <human|json>",integrationSlackPersonal,Integrates your personal notifications with Slack.,Integration,
mutation,linear mutation,integration-slack-post,,"--code <value>, --redirect-uri <value>, --should-use-v-2-auth, --team-id <value>, --select <fields|@file>, --format <human|json>",integrationSlackPost,Slack integration for team notifications.,Integration,
mutation,linear mutation,integration-slack-project-post,,"--code <value>, --project-id <value>, --redirect-uri <value>, --service <value>, --select <fields|@file>, --format <human|json>",integrationSlackProjectPost,Slack integration for project notifications.,Integration,
mutation,linear mutation,integration-slack-workflow-access-update,,"--enabled, --integration-id <value>, --select <fields|@file>, --format <human|json>",integrationSlackWorkflowAccessUpdate,[Internal] Enables Linear Agent Slack workflow access for a Slack or Slack Asks integration.,Integration,internal
mutation,linear mutation,integration-template-create,,"--input <json|@file>, --select <fields|@file>, --format <human|json>",integrationTemplateCreate,Creates a new integrationTemplate join.,IntegrationTemplate,
mutation,linear mutation,integration-template-delete,<id>,"--select <fields|@file>, --format <human|json>",integrationTemplateDelete,Deletes a integrationTemplate.,IntegrationTemplate,
mutation,linear mutation,integration-update,<id>,"--input <json|@file>, --select <fields|@file>, --format <human|json>",integrationUpdate,[INTERNAL] Updates the integration.,Integration,internal
mutation,linear mutation,integration-zendesk,,"--code <value>, --redirect-uri <value>, --scope <value>, --subdomain <value>, --select <fields|@file>, --format <human|json>",integrationZendesk,Integrates the organization with Zendesk.,Integration,
mutation,linear mutation,integrations-settings-create,,"--input <json|@file>, --select <fields|@file>, --format <human|json>",integrationsSettingsCreate,Creates new settings for one or more integrations.,IntegrationsSettings,
mutation,linear mutation,integrations-settings-update,<id>,"--input <json|@file>, --select <fields|@file>, --format <human|json>",integrationsSettingsUpdate,Updates settings related to integrations for a project or a team.,IntegrationsSettings,
mutation,linear mutation,issue-add-label,<id>,"--label-id <value>, --select <fields|@file>, --format <human|json>",issueAddLabel,Adds a label to an issue.,Issue,
mutation,linear mutation,issue-archive,<id>,"--trash, --select <fields|@file>, --format <human|json>",issueArchive,Archives an issue.,Issue,
mutation,linear mutation,issue-batch-create,,"--input <json|@file>, --select <fields|@file>, --format <human|json>",issueBatchCreate,Creates a list of issues in one transaction.,Issue,
mutation,linear mutation,issue-batch-update,,"--ids <value>, --input <json|@file>, --select <fields|@file>, --format <human|json>",issueBatchUpdate,Updates multiple issues at once.,Issue,
mutation,linear mutation,issue-create,,"--input <json|@file>, --select <fields|@file>, --format <human|json>",issueCreate,Creates a new issue.,Issue,
mutation,linear mutation,issue-delete,<id>,"--permanently-delete, --select <fields|@file>, --format <human|json>",issueDelete,Deletes (trashes) an issue.,Issue,
mutation,linear mutation,issue-description-update-from-front,<id>,"--description <value>, --select <fields|@file>, --format <human|json>",issueDescriptionUpdateFromFront,[INTERNAL] Updates an issue description from the Front app to handle Front attachments correctly.,Issue,internal
mutation,linear mutation,issue-external-sync-disable,,"--attachment-id <value>, --select <fields|@file>, --format <human|json>",issueExternalSyncDisable,Disables external sync on an issue.,Issue,
mutation,linear mutation,issue-import-create-asana,<id>,"--asana-team-name <value>, --asana-token <value>, --include-closed-issues, --instant-process, --team-id <value>, --team-name <value>, --select <fields|@file>, --format <human|json>",issueImportCreateAsana,Kicks off an Asana import job.,IssueImport,
mutation,linear mutation,issue-import-create-csv-jira,,"--csv-url <value>, --jira-email <value>, --jira-hostname <value>, --jira-token <value>, --team-id <value>, --team-name <value>, --select <fields|@file>, --format <human|json>",issueImportCreateCSVJira,Kicks off a Jira import job from a CSV.,IssueImport,
mutation,linear mutation,issue-import-create-clubhouse,<id>,"--clubhouse-group-name <value>, --clubhouse-token <value>, --include-closed-issues, --instant-process, --team-id <value>, --team-name <value>, --select <fields|@file>, --format <human|json>",issueImportCreateClubhouse,Kicks off a Shortcut (formerly Clubhouse) import job.,IssueImport,
